elem_index,treatment,period_calendar,treatment_qty,treatment_comment,treatment_reason
21474,cs_resurf,2023,1650,"OGPA, function: R, on date: 2023-12-11",committed-16_1191_870_L1
21475,cs_resurf,2023,1650,"OGPA, function: R, on date: 2023-12-11",committed-16_1191_870_L2
21476,cs_resurf,2023,2535,"OGPA, function: R, on date: 2023-12-11",committed-16_1191_1200_L1
21477,cs_resurf,2023,2535,"OGPA, function: R, on date: 2023-12-11",committed-16_1191_1200_L2
21478,cs_resurf,2023,1440,"OGPA, function: R, on date: 2023-12-11",committed-16_1191_1707_L1
21479,cs_resurf,2023,1440,"OGPA, function: R, on date: 2023-12-11",committed-16_1191_1707_L2
21524,cs_resurf,2023,525,"OGPA, function: R, on date: 2023-07-01",committed-16_1191_7530_L1
21525,cs_resurf,2023,525,"OGPA, function: R, on date: 2023-07-01",committed-16_1191_7530_L2
21526,cs_resurf,2023,840,"OGPA, function: R, on date: 2023-07-01",committed-16_1191_7635_L1
21527,cs_resurf,2023,840,"OGPA, function: R, on date: 2023-07-01",committed-16_1191_7635_L2
21528,cs_resurf,2023,370,"OGPA, function: R, on date: 2023-07-01",committed-16_1191_7803_L1
21529,cs_resurf,2023,370,"OGPA, function: R, on date: 2023-07-01",committed-16_1191_7803_L2
21530,cs_resurf,2023,1130,"OGPA, function: R, on date: 2023-07-01",committed-16_1191_7877_L1
21531,cs_resurf,2023,1130,"OGPA, function: R, on date: 2023-07-01",committed-16_1191_7877_L2
21532,cs_resurf,2023,1035,"OGPA, function: R, on date: 2023-07-01",committed-16_1191_8103_L1
21533,cs_resurf,2023,1035,"OGPA, function: R, on date: 2023-07-01",committed-16_1191_8103_L2
21540,cs_resurf,2023,2517.5,"OGPA, function: R, on date: 2023-12-08",committed-16_1192_1470_R1
21541,cs_resurf,2023,2517.5,"OGPA, function: R, on date: 2023-12-08",committed-16_1192_1470_R2
21542,cs_resurf,2023,1187.5,"OGPA, function: R, on date: 2023-12-08",committed-16_1192_2000_R1
21543,cs_resurf,2023,1187.5,"OGPA, function: R, on date: 2023-12-08",committed-16_1192_2000_R2
