elem_index,treatment,period_calendar,treatment_qty,treatment_comment,treatment_reason
3,cs_resurf,2015,2430,"2CHIP, function: 2, on date: 2015-11-20",committed-1_741_3530_All
31,cs_resurf,2015,3240,"2CHIP, function: 2, on date: 2015-11-20",committed-1_742_3100_All
32,cs_resurf,2015,360,"2CHIP, function: 2, on date: 2015-11-20",committed-1_742_3460_All
33,cs_resurf,2015,1530,"2CHIP, function: 2, on date: 2015-11-20",committed-1_742_3500_All
84,cs_rehab,2015,1453.5,"2CHIP, function: 1, on date: 2015-10-06",committed-1_745_11837_All
91,cs_resurf,2015,1995,"2CHIP, function: R, on date: 2015-11-19",committed-1_745_13650_All
92,cs_resurf,2015,4750,"COMB, function: 2, on date: 2015-11-19",committed-1_745_13860_All
172,cs_resurf,2015,2288,"B/S, function: R, on date: 2015-12-14",committed-1_749_1980_All
183,cs_resurf,2015,10560,"B/S, function: R, on date: 2015-11-18",committed-1_749_5680_All
191,cs_resurf,2015,1654.4,"RACK, function: R, on date: 2015-12-14",committed-1_749_10312_All
213,cs_resurf,2015,2408,"2CHIP, function: 2, on date: 2015-12-11",committed-1_750_4800_All
227,cs_rehab,2015,1935,"2CHIP, function: 1, on date: 2015-11-13",committed-1_751_555_All
228,cs_rehab,2015,2610,"2CHIP, function: 1, on date: 2015-11-13",committed-1_751_770_All
232,cs_rehab,2015,1732.5,"2CHIP, function: 1, on date: 2015-11-20",committed-1_752_1390_All
238,cs_resurf,2015,2860,"COMB, function: R, on date: 2015-02-25",committed-1_752_7360_All
239,cs_resurf,2015,7280,"2CHIP, function: 2, on date: 2015-11-13",committed-1_752_7580_All
240,cs_resurf,2015,2080,"2CHIP, function: R, on date: 2015-11-13",committed-1_752_8140_All
241,cs_resurf,2015,1950,"2CHIP, function: 2, on date: 2015-11-13",committed-1_752_8300_All
243,cs_resurf,2015,3380,"2CHIP, function: 2, on date: 2015-11-14",committed-1_752_8550_All
245,cs_resurf,2015,4160,"2CHIP, function: 2, on date: 2015-11-14",committed-1_752_9180_All
249,cs_rehab,2015,5522,"2CHIP, function: 1, on date: 2015-12-12",committed-1_752_10200_All
279,cs_resurf,2015,4550,"COMB, function: R, on date: 2015-02-25",committed-1_753_6810_All
292,cs_resurf,2015,2470,"COMB, function: 2, on date: 2015-03-10",committed-1_753_11500_All
297,cs_resurf,2015,7470,"COMB, function: R, on date: 2015-03-24",committed-1_753_14510_All
389,cs_rehab,2015,5985,"2CHIP, function: 1, on date: 2015-02-15",committed-1_771_440_All
493,ac_resurf,2015,7176,"AC, function: R, on date: 2015-12-19",committed-1_777_0_All
596,cs_resurf,2015,6927.5,"COMB, function: R, on date: 2015-12-07",committed-1_830_2175_All
597,cs_resurf,2015,12495,"COMB, function: R, on date: 2015-12-07",committed-1_830_2990_All
598,cs_resurf,2015,1530,"COMB, function: R, on date: 2015-12-07",committed-1_830_4460_All
599,cs_resurf,2015,1615,"COMB, function: R, on date: 2015-12-07",committed-1_830_4640_All
600,cs_resurf,2015,1572.5,"COMB, function: R, on date: 2015-12-07",committed-1_830_4830_All
601,cs_resurf,2015,12792.5,"COMB, function: R, on date: 2015-12-07",committed-1_830_5015_All
743,cs_rehab,2015,3800,"2CHIP, function: 1, on date: 2015-02-05",committed-1_850_12025_All
744,cs_rehab,2015,8800,"2CHIP, function: 1, on date: 2015-02-05",committed-1_850_12500_All
745,cs_rehab,2015,7440,"2CHIP, function: 1, on date: 2015-02-05",committed-1_850_13600_All
765,cs_resurf,2015,2310,"COMB, function: R, on date: 2015-11-25",committed-1_857_10700_All
768,cs_resurf,2015,13706,"RACK, function: R, on date: 2015-11-26",committed-1_857_11810_All
770,cs_resurf,2015,8855,"RACK, function: R, on date: 2015-11-26",committed-1_857_14090_All
776,cs_resurf,2015,7537.5,"B/S, function: R, on date: 2015-11-30",committed-1_859_320_All
814,cs_resurf,2015,1520,"2CHIP, function: R, on date: 2015-12-11",committed-1_861_5410_All
821,cs_resurf,2015,600,"2CHIP, function: R, on date: 2015-12-14",committed-1_861_8400_All
882,cs_resurf,2015,2800,"1CHIP, function: R, on date: 2015-04-24",committed-1_867_950_All
887,cs_resurf,2015,12160,"COMB, function: R, on date: 2015-04-24",committed-1_867_4050_All
904,cs_resurf,2015,5530,"COMB, function: R, on date: 2015-05-05",committed-1_868_7150_All
916,cs_resurf,2015,4340,"2CHIP, function: R, on date: 2015-05-05",committed-1_868_13710_All
936,cs_resurf,2015,7020,"OGPAH, function: R, on date: 2016-01-19",committed-1_878_2060_All
955,cs_rehab,2015,12050,"2CHIP, function: 1, on date: 2015-04-30",committed-1_878_7490_All
956,cs_rehab,2015,5750,"2CHIP, function: 1, on date: 2016-01-24",committed-1_878_8695_All
962,cs_resurf,2015,9295,"COMB, function: R, on date: 2015-04-20",committed-1_878_12335_All
965,cs_resurf,2015,4400,"RACK, function: R, on date: 2015-04-20",committed-1_878_14320_All
982,cs_resurf,2015,6510,"COMB, function: R, on date: 2015-02-23",committed-1_879_15220_All
1010,cs_resurf,2015,1105,"2CHIP, function: R, on date: 2015-04-20",committed-1_881_5430_All
1012,cs_resurf,2015,1950,"COMB, function: R, on date: 2015-04-20",committed-1_881_7000_All
1030,cs_resurf,2015,16162.5,"COMB, function: R, on date: 2015-02-27",committed-1_883_4745_All
1040,cs_resurf,2015,1920,"2CHIP, function: R, on date: 2015-02-25",committed-1_884_30_All
1042,cs_resurf,2015,10640,"2CHIP, function: R, on date: 2015-02-27",committed-1_884_1690_All
1074,cs_resurf,2015,11475,"COMB, function: R, on date: 2015-02-25",committed-1_886_4380_All
1189,ac_resurf,2015,2240,"AC, function: R, on date: 2016-01-25",committed-1_1496_1640_All
1251,cs_resurf,2015,2437.5,"COMB, function: R, on date: 2015-02-25",committed-1_1672_4750_All
1252,cs_resurf,2015,1657.5,"COMB, function: R, on date: 2015-02-25",committed-1_1672_5075_All
1314,cs_resurf,2015,5588.75,"2CHIP, function: R, on date: 2015-02-23",committed-1_2677_2715_R1
1315,cs_resurf,2015,5588.75,"2CHIP, function: R, on date: 2015-02-23",committed-1_2677_2715_R2
1316,cs_resurf,2015,5780,"2CHIP, function: R, on date: 2015-03-24",committed-1_2677_4030_All
1317,cs_resurf,2015,9212,"2CHIP, function: R, on date: 2015-03-24",committed-1_2677_4710_All
1318,cs_resurf,2015,272,"2CHIP, function: R, on date: 2015-03-24",committed-1_2677_5368_All
1338,cs_resurf,2015,2233,"2CHIP, function: R, on date: 2016-01-25",committed-1_2723_1290_All
1341,cs_resurf,2015,2979.9,"COMB, function: R, on date: 2015-02-23",committed-1_2723_3420_All
1349,ac_resurf,2015,14100,"AC, function: 2, on date: 2015-11-30",committed-1_3610_150_All
1402,cs_resurf,2015,3826.3,"RACK, function: R, on date: 2015-01-16",committed-2_2_9679_All
1403,cs_resurf,2015,3137.4,"2CHIP, function: R, on date: 2015-01-16",committed-2_2_10140_All
1443,cs_resurf,2015,928.2,"2CHIP, function: R, on date: 2015-02-13",committed-2_7_181_All
1448,cs_resurf,2015,1092,"2CHIP, function: R, on date: 2015-02-13",committed-2_7_890_All
1449,cs_resurf,2015,1119.3,"2CHIP, function: R, on date: 2015-02-13",committed-2_7_1010_All
1452,cs_resurf,2015,1219.4,"2CHIP, function: R, on date: 2015-02-13",committed-2_7_1490_All
1457,cs_resurf,2015,1574.3,"2CHIP, function: R, on date: 2015-02-18",committed-2_7_3247_All
1474,cs_resurf,2015,2464.8,"RACK, function: R, on date: 2015-02-17",committed-2_7_11872_All
1509,cs_resurf,2015,2574,"RACK, function: R, on date: 2015-02-14",committed-2_8_9124_All
1510,cs_resurf,2015,648,"RACK, function: R, on date: 2015-02-14",committed-2_8_9410_All
1514,cs_resurf,2015,846,"VFILL, function: 2, on date: 2015-02-16",committed-2_8_10372_All
1515,cs_resurf,2015,2286,"VFILL, function: 2, on date: 2015-02-16",committed-2_8_10466_All
1516,cs_resurf,2015,4315.2,"RACK, function: R, on date: 2015-02-12",committed-2_8_10720_All
1517,cs_resurf,2015,6135.9,"2CHIP, function: 2, on date: 2015-02-13",committed-2_8_11216_All
1529,cs_rehab,2015,2212,"2CHIP, function: 1, on date: 2014-12-11",committed-2_10_787_All
1557,cs_resurf,2015,1742.4,"2CHIP, function: R, on date: 2015-01-13",committed-2_12_825_All
1565,cs_resurf,2015,2232.1,"2CHIP, function: 2, on date: 2015-01-18",committed-2_12_6142_All
1580,cs_rehab,2015,7744,"2CHIP, function: 1, on date: 2015-04-15",committed-2_12_10645_All
1581,cs_rehab,2015,176,"2CHIP, function: 1, on date: 2015-04-15",committed-2_12_11525_All
1602,cs_resurf,2015,8276.1,"2CHIP, function: R, on date: 2015-01-06",committed-2_17_3627_All
1603,cs_resurf,2015,1617,"2CHIP, function: R, on date: 2015-01-06",committed-2_17_4190_All
1604,cs_resurf,2015,2940,"2CHIP, function: R, on date: 2015-01-06",committed-2_17_4300_All
1605,cs_resurf,2015,3528,"2CHIP, function: R, on date: 2015-01-06",committed-2_17_4500_All
1606,cs_resurf,2015,4501.1,"2CHIP, function: R, on date: 2015-01-06",committed-2_17_4740_All
1607,cs_resurf,2015,6241.8,"2CHIP, function: R, on date: 2015-01-08",committed-2_17_5177_All
1612,cs_rehab,2015,2255.7,"2CHIP, function: 1, on date: 2015-08-21",committed-2_17_6943_All
1617,cs_resurf,2015,2264.4,"2CHIP, function: R, on date: 2015-01-21",committed-2_17_8539_All
1627,cs_resurf,2015,3892,"2CHIP, function: R, on date: 2015-02-11",committed-2_17_11390_All
1628,cs_resurf,2015,2808,"2CHIP, function: R, on date: 2015-02-11",committed-2_17_11670_All
1629,cs_resurf,2015,4784,"2CHIP, function: R, on date: 2015-02-11",committed-2_17_11940_All
1630,cs_resurf,2015,2787.2,"2CHIP, function: R, on date: 2015-02-11",committed-2_17_12400_All
1631,cs_resurf,2015,6182.4,"2CHIP, function: R, on date: 2015-02-11",committed-2_17_12668_All
1654,cs_rehab,2015,1818,"2CHIP, function: 1, on date: 2015-01-13",committed-2_18_4600_All
1664,cs_rehab,2015,4898.5,"2CHIP, function: 1, on date: 2015-04-01",committed-2_18_8345_All
1688,cs_resurf,2015,2263.2,"VFILL, function: 2, on date: 2015-12-09",committed-2_19_550_L1
1689,cs_rehab,2015,777,"2CHIP, function: 1, on date: 2015-02-21",committed-2_19_1042_All
1722,cs_resurf,2015,5766,"2CHIP, function: R, on date: 2015-01-23",committed-2_19_10279_All
1766,ac_resurf,2015,6703.2,"SMA, function: R, on date: 2015-03-25",committed-2_28_3258_All
1767,cs_resurf,2015,7450.4,"2CHIP, function: R, on date: 2015-04-12",committed-2_28_3714_All
1774,cs_resurf,2015,6512,"2CHIP, function: R, on date: 2015-04-12",committed-2_31_830_All
1783,cs_resurf,2015,2021.6,"2CHIP, function: R, on date: 2015-02-23",committed-2_31_2507_All
1803,cs_rehab,2015,846.1333333,"2CHIP, function: 1, on date: 2015-03-10",committed-2_31_7950_L1
1804,cs_rehab,2015,846.1333333,"2CHIP, function: 1, on date: 2015-03-10",committed-2_31_7950_R1
1805,cs_resurf,2015,1464.266667,"2CHIP, function: R, on date: 2015-02-19",committed-2_31_8117_L1
1806,cs_resurf,2015,1464.266667,"2CHIP, function: R, on date: 2015-02-19",committed-2_31_8117_R1
1810,cs_resurf,2015,5143,"2CHIP, function: R, on date: 2015-01-07",committed-2_31_9400_All
1811,cs_resurf,2015,5596.666667,"2CHIP, function: R, on date: 2015-01-07",committed-2_31_9770_L1
1812,cs_resurf,2015,3942,"2CHIP, function: R, on date: 2015-01-07",committed-2_31_9770_R1
1814,cs_resurf,2015,1654.666667,"2CHIP, function: R, on date: 2015-01-07",committed-2_31_10580_R1
1817,cs_resurf,2015,3885,"2CHIP, function: R, on date: 2015-03-22",committed-2_31_11150_All
1818,cs_resurf,2015,4440,"2CHIP, function: R, on date: 2015-03-22",committed-2_31_11500_All
1825,cs_resurf,2015,6156,"2CHIP, function: R, on date: 2015-03-22",committed-2_31_12760_All
1835,cs_resurf,2015,13270.5,"VFILL, function: 2, on date: 2015-01-07",committed-2_31_15672_All
1848,cs_resurf,2015,4726,"TEXT, function: R, on date: 2015-03-12",committed-2_36_2890_All
1864,cs_resurf,2015,10937.5,"RACK, function: R, on date: 2015-11-23",committed-2_36_8400_All
1875,cs_resurf,2015,3564,"2CHIP, function: R, on date: 2015-05-11",committed-2_36_11930_All
1882,cs_resurf,2015,6469.2,"2CHIP, function: 2, on date: 2015-12-07",committed-2_36_13940_All
1883,cs_resurf,2015,3034.8,"2CHIP, function: R, on date: 2015-12-07",committed-2_36_14539_All
1884,cs_resurf,2015,810,"2CHIP, function: R, on date: 2015-12-07",committed-2_36_14820_All
1887,cs_resurf,2015,2994.5,"2CHIP, function: R, on date: 2015-11-30",committed-2_36_14960_All
1889,cs_resurf,2015,3961.1,"2CHIP, function: R, on date: 2015-11-30",committed-2_36_15351_All
1895,cs_resurf,2015,369,"TEXT, function: R, on date: 2015-04-16",committed-2_36_17265_All
1917,cs_resurf,2015,1123.2,"2CHIP, function: R, on date: 2015-02-20",committed-2_40_0_All
1943,cs_resurf,2015,6147.9,"2CHIP, function: R, on date: 2015-02-27",committed-2_41_3700_All
1951,cs_resurf,2015,2966.6,"2CHIP, function: R, on date: 2015-02-11",committed-2_41_7505_All
1955,cs_resurf,2015,2023.5,"2CHIP, function: R, on date: 2015-02-27",committed-2_41_8687_All
1965,cs_resurf,2015,729,"2CHIP, function: R, on date: 2015-01-16",committed-2_44_0_All
1966,cs_resurf,2015,3888,"2CHIP, function: R, on date: 2015-01-16",committed-2_44_90_All
1981,cs_resurf,2015,12824.9,"1CHIP, function: R, on date: 2015-01-15",committed-2_44_5100_All
2051,cs_resurf,2015,8272,"2CHIP, function: R, on date: 2014-12-09",committed-2_47_6380_All
2067,cs_rehab,2015,3738,"2CHIP, function: 1, on date: 2015-04-09",committed-2_49_0_All
2069,cs_rehab,2015,3497.7,"2CHIP, function: 1, on date: 2015-04-02",committed-2_49_963_All
2134,cs_resurf,2015,890,"1CHIP, function: R, on date: 2015-01-10",committed-2_53_16240_All
2135,cs_resurf,2015,33515.6,"1CHIP, function: R, on date: 2015-01-10",committed-2_54_0_All
2190,ac_resurf,2015,2120,"AC, function: R, on date: 2015-02-21",committed-2_56_2185_All
2196,cs_resurf,2015,3009,"2CHIP, function: R, on date: 2015-03-03",committed-2_56_5965_All
2236,cs_resurf,2015,10829,"2CHIP, function: R, on date: 2015-02-20",committed-2_59_7862_All
2261,cs_resurf,2015,20554.8,"VFILL, function: 2, on date: 2015-01-10",committed-2_61_12385_All
2289,cs_resurf,2015,1360,"2CHIP, function: R, on date: 2015-04-28",committed-2_63_3455_All
2329,ac_resurf,2015,1665.2,"AC, function: R, on date: 2015-06-09",committed-2_63_19128_All
2345,cs_resurf,2015,2551.1,"2CHIP, function: 2, on date: 2015-02-02",committed-2_66_20_All
2361,cs_resurf,2015,20227.5,"2CHIP, function: R, on date: 2015-03-19",committed-2_66_13700_All
2377,cs_resurf,2015,3488.8,"2CHIP, function: R, on date: 2015-04-17",committed-2_68_6990_All
2390,cs_resurf,2015,7144,"2CHIP, function: R, on date: 2015-02-25",committed-2_68_14437_All
2391,cs_resurf,2015,4344,"2CHIP, function: R, on date: 2015-02-25",committed-2_68_15330_All
2406,cs_resurf,2015,4220.6,"2CHIP, function: R, on date: 2015-04-16",committed-2_71_9664_All
2408,cs_resurf,2015,7048.5,"2CHIP, function: R, on date: 2015-05-01",committed-2_71_10251_All
2451,cs_resurf,2015,1218,"2CHIP, function: R, on date: 2015-05-07",committed-2_72_12110_All
2453,cs_resurf,2015,921.3,"2CHIP, function: 2, on date: 2015-02-25",committed-2_72_12919_All
2454,cs_resurf,2015,1121.4,"2CHIP, function: 2, on date: 2015-02-25",committed-2_72_13030_All
2461,cs_resurf,2015,7273.2,"VFILL, function: 2, on date: 2015-03-18",committed-2_72_13455_All
2473,cs_resurf,2015,3536,"2CHIP, function: R, on date: 2015-03-12",committed-2_72_17482_All
2475,cs_resurf,2015,4312,"2CHIP, function: R, on date: 2015-03-12",committed-2_72_19460_All
2477,cs_resurf,2015,1685.6,"2CHIP, function: R, on date: 2015-03-12",committed-2_72_20448_All
2478,cs_resurf,2015,1675.8,"2CHIP, function: R, on date: 2015-03-12",committed-2_72_20620_All
2479,ac_resurf,2015,1460.2,"SMA, function: R, on date: 2015-04-16",committed-2_72_20791_All
2489,ac_resurf,2015,2032,"AC, function: R, on date: 2015-06-11",committed-2_78_2640_All
2499,cs_resurf,2015,2881.5,"2CHIP, function: R, on date: 2015-03-20",committed-2_78_6945_All
2501,cs_resurf,2015,3672.5,"2CHIP, function: R, on date: 2015-03-20",committed-2_78_7345_All
2517,ac_resurf,2015,345,"AC, function: R, on date: 2015-06-10",committed-2_78_10678_All
2518,cs_resurf,2015,3150,"2CHIP, function: 2, on date: 2015-03-23",committed-2_80_0_All
2519,cs_resurf,2015,1980,"2CHIP, function: 2, on date: 2015-03-23",committed-2_80_350_All
2551,cs_rehab,2015,3148.2,"2CHIP, function: 1, on date: 2015-01-29",committed-2_80_13882_All
2568,cs_resurf,2015,11352,"2CHIP, function: 2, on date: 2015-04-20",committed-2_81_7630_All
2611,cs_resurf,2015,3693.5,"TEXT, function: R, on date: 2015-03-29",committed-2_82_7515_All
2615,cs_resurf,2015,13771.1,"2CHIP, function: R, on date: 2015-04-17",committed-2_82_9170_All
2622,cs_resurf,2015,3840,"TEXT, function: R, on date: 2015-04-16",committed-2_84_0_All
2623,cs_resurf,2015,2022.4,"TEXT, function: R, on date: 2015-04-16",committed-2_84_300_All
2624,cs_resurf,2015,4699.6,"TEXT, function: R, on date: 2015-04-16",committed-2_84_458_All
2630,cs_resurf,2015,3251.2,"2CHIP, function: R, on date: 2015-03-28",committed-2_84_1930_All
2660,cs_resurf,2015,3484,"2CHIP, function: R, on date: 2015-05-01",committed-2_89_1730_All
2661,cs_resurf,2015,1936,"2CHIP, function: R, on date: 2015-05-01",committed-2_89_1990_All
2681,cs_resurf,2015,6844,"TEXT, function: R, on date: 2015-03-09",committed-2_89_6180_All
2682,cs_resurf,2015,3422,"TEXT, function: R, on date: 2015-03-09",committed-2_89_6180_L1
2684,cs_resurf,2015,3725,"2CHIP, function: R, on date: 2015-02-26",committed-2_89_7340_All
2685,cs_resurf,2015,193.7,"2CHIP, function: R, on date: 2015-02-26",committed-2_89_7590_All
2835,cs_resurf,2015,4345,"2CHIP, function: R, on date: 2015-04-09",committed-2_1922_20621_All
2845,cs_resurf,2015,6554,"2CHIP, function: R, on date: 2015-11-25",committed-2_1936_2635_All
2848,cs_resurf,2015,24336,"2CHIP, function: R, on date: 2014-12-18",committed-2_1936_3646_All
2864,cs_resurf,2015,7906,"2CHIP, function: R, on date: 2015-01-08",committed-2_1936_14696_All
2874,cs_resurf,2015,2484.6,"2CHIP, function: 2, on date: 2015-04-11",committed-2_2087_1003_All
2940,cs_resurf,2015,3344,"2CHIP, function: R, on date: 2015-01-20",committed-2_2096_2577_All
2958,ac_resurf,2015,2648.1,"AC, function: R, on date: 2015-06-14",committed-2_2099_1867_All
3022,cs_resurf,2015,1936,"2CHIP, function: R, on date: 2015-03-09",committed-2_2555_7300_All
3033,cs_resurf,2015,1800,"2CHIP, function: R, on date: 2015-11-23",committed-2_2555_10088_All
3052,cs_resurf,2015,5253.6,"2CHIP, function: R, on date: 2015-11-24",committed-2_2555_13878_All
3076,cs_resurf,2015,2843.1,"2CHIP, function: R, on date: 2015-11-23",committed-2_2556_1613_All
3097,cs_resurf,2015,4307.7,"2CHIP, function: R, on date: 2015-11-26",committed-2_2556_8094_All
3111,cs_resurf,2015,967.6,"2CHIP, function: R, on date: 2015-11-24",committed-2_2557_2144_All
3121,cs_resurf,2015,2580,"2CHIP, function: R, on date: 2015-11-23",committed-2_2557_5200_All
3132,cs_resurf,2015,1032.4,"2CHIP, function: R, on date: 2015-11-26",committed-2_2557_9098_All
3184,cs_rehab,2015,4118,"2CHIP, function: 1, on date: 2015-06-12",committed-2_2800_2200_All
3185,cs_rehab,2015,1171.6,"2CHIP, function: 1, on date: 2015-06-12",committed-2_2800_2555_All
3186,cs_rehab,2015,1722.2,"2CHIP, function: 1, on date: 2015-06-12",committed-2_2800_2656_All
3192,cs_resurf,2015,15140.4,"2CHIP, function: R, on date: 2015-03-22",committed-2_2800_5808_All
3194,cs_resurf,2015,8755.2,"2CHIP, function: R, on date: 2015-01-31",committed-2_2800_7098_All
3314,cs_rehab,2015,3290,"2CHIP, function: 1, on date: 2015-02-04",committed-2_2829_6490_All
3320,cs_rehab,2015,7798.8,"2CHIP, function: 1, on date: 2015-02-22",committed-2_2829_10976_All
3321,cs_rehab,2015,1982.4,"2CHIP, function: 1, on date: 2015-02-22",committed-2_2829_11780_All
3325,cs_resurf,2015,3933,"1CHIP, function: R, on date: 2015-03-09",committed-2_2829_14787_All
3326,cs_resurf,2015,27208,"2CHIP, function: R, on date: 2015-04-01",committed-2_2829_15201_All
3337,ac_resurf,2015,516,"AC, function: R, on date: 2015-06-07",committed-2_2838_2076_All
3342,cs_resurf,2015,17806,"2CHIP, function: 2, on date: 2015-11-29",committed-2_2838_6420_All
3343,cs_resurf,2015,1824,"2CHIP, function: R, on date: 2015-11-29",committed-2_2838_7648_All
3354,ac_resurf,2015,774.2,"SMA, function: R, on date: 2015-02-19",committed-2_2839_266_All
3385,cs_resurf,2015,1809.4,"2CHIP, function: R, on date: 2015-02-20",committed-2_2839_8985_All
3388,cs_resurf,2015,9040.5,"2CHIP, function: R, on date: 2015-02-15",committed-2_3287_39_All
3389,cs_resurf,2015,10909.5,"2CHIP, function: R, on date: 2015-02-15",committed-2_3287_900_All
3668,ac_resurf,2015,276,"AC, function: R, on date: 2015-06-10",committed-2_3594_0_All
3679,cs_resurf,2015,2021,"2CHIP, function: 2, on date: 2015-03-23",committed-2_3594_4045_All
3680,ac_resurf,2015,368,"AC, function: R, on date: 2015-06-10",committed-2_3595_0_All
3686,cs_resurf,2015,3346.5,"2CHIP, function: 2, on date: 2015-01-28",committed-2_3970_3933_All
3698,cs_resurf,2015,1762.5,"2CHIP, function: R, on date: 2015-01-30",committed-2_3970_9504_All
3942,cs_resurf,2015,876,"OGPAH, function: R, on date: 2015-04-20",committed-3_150_0_All
3943,cs_resurf,2015,1540,"OGPAH, function: R, on date: 2015-04-20",committed-3_150_120_All
3944,cs_resurf,2015,672,"OGPAH, function: R, on date: 2015-04-20",committed-3_150_230_All
4261,cs_resurf,2015,1995,"OGPAH, function: R, on date: 2015-09-15",committed-3_236_90_All
4262,cs_resurf,2015,467.4,"OGPAH, function: R, on date: 2015-09-15",committed-3_236_356_All
4348,cs_resurf,2015,835.2,"OGPA, function: 2, on date: 2015-10-31",committed-3_256_0_All
4349,cs_resurf,2015,2016,"OGPA, function: 2, on date: 2015-10-31",committed-3_256_96_All
4350,ac_resurf,2015,2460,"SMA, function: 2, on date: 2014-12-20",committed-3_256_264_All
4351,ac_resurf,2015,2520,"SMA, function: R, on date: 2014-12-20",committed-3_257_0_All
4352,ac_resurf,2015,924,"SMA, function: R, on date: 2014-12-20",committed-3_257_180_All
4356,ac_resurf,2015,697,"SMA, function: 2, on date: 2014-12-20",committed-3_259_85_All
4357,ac_resurf,2015,2127.9,"SMA, function: R, on date: 2014-12-20",committed-3_259_167_All
4458,cs_resurf,2015,1287.5,"1CHIP, function: 2, on date: 2015-01-19",committed-3_1500_7850_R2
4685,cs_resurf,2015,4173.6,"OGPA, function: R, on date: 2015-10-27",committed-3_1735_10600_R1
4686,cs_resurf,2015,4173.6,"OGPA, function: R, on date: 2015-10-27",committed-3_1735_10600_R2
5056,cs_resurf,2015,315.65,"OGPA, function: R, on date: 2015-02-20",committed-3_1773_4020_L2
5058,cs_resurf,2015,1021.85,"OGPA, function: R, on date: 2015-02-20",committed-3_1773_4079_L2
5060,cs_resurf,2015,813.05,"OGPA, function: R, on date: 2015-02-20",committed-3_1773_4270_L2
5082,cs_resurf,2015,4336.8,"2CHIP, function: R, on date: 2015-02-19",committed-3_1774_2088_All
5182,cs_resurf,2015,1726.666667,"OGPAH, function: R, on date: 2015-08-26",committed-3_1781_5374_R1
5183,cs_resurf,2015,1726.666667,"OGPAH, function: R, on date: 2015-08-26",committed-3_1781_5374_R2
5184,cs_resurf,2015,1726.666667,"OGPAH, function: R, on date: 2015-08-26",committed-3_1781_5374_R3
5339,cs_resurf,2015,913.75,"OGPA, function: R, on date: 2015-09-15",committed-3_1932_3682_L1
5340,cs_resurf,2015,913.75,"OGPA, function: R, on date: 2015-09-15",committed-3_1932_3682_L2
5341,cs_resurf,2015,913.75,"OGPA, function: R, on date: 2015-09-15",committed-3_1932_3682_L3
5343,cs_resurf,2015,1228.25,"OGPA, function: R, on date: 2015-09-16",committed-3_1932_3897_L1
5344,cs_resurf,2015,1228.25,"OGPA, function: R, on date: 2015-09-16",committed-3_1932_3897_L2
5345,cs_resurf,2015,1228.25,"OGPA, function: R, on date: 2015-09-16",committed-3_1932_3897_L3
5491,cs_resurf,2015,490,"2CHIP, function: R, on date: 2015-05-29",committed-3_1963_0_All
5492,cs_resurf,2015,266,"2CHIP, function: R, on date: 2015-05-29",committed-3_1963_70_All
5624,ac_resurf,2015,1048.333333,"SMA, function: R, on date: 2015-10-19",committed-3_2101_588_L1
5625,ac_resurf,2015,1048.333333,"SMA, function: R, on date: 2015-10-19",committed-3_2101_588_L2
5626,ac_resurf,2015,1048.333333,"SMA, function: R, on date: 2015-10-19",committed-3_2101_588_R1
5627,ac_resurf,2015,1048.333333,"SMA, function: R, on date: 2015-10-19",committed-3_2101_588_R2
5663,cs_resurf,2015,471.2,"OGPAH, function: R, on date: 2015-08-26",committed-3_2581_304_All
5664,cs_resurf,2015,2470,"OGPAH, function: R, on date: 2015-04-21",committed-3_2582_0_All
6004,cs_resurf,2015,5225,"1CHIP, function: 2, on date: 2015-01-20",committed-3_2805_7300_L2
6006,cs_resurf,2015,2317.5,"B/S, function: R, on date: 2015-01-21",committed-3_2805_8250_L2
6107,ac_resurf,2015,1540,"UTA, function: R, on date: 2014-12-10",committed-3_3110_287_All
6120,cs_resurf,2015,1750,"OGPAH, function: R, on date: 2015-09-08",committed-3_3111_300_All
6121,cs_resurf,2015,1505,"OGPAH, function: R, on date: 2015-09-10",committed-3_3111_550_All
6122,cs_resurf,2015,175,"OGPAH, function: R, on date: 2015-09-10",committed-3_3111_765_All
6123,cs_resurf,2015,2870,"OGPAH, function: R, on date: 2015-09-10",committed-3_3111_790_All
6441,cs_resurf,2015,5200,"2CHIP, function: 2, on date: 2015-02-11",committed-3_3395_6705_All
6442,cs_resurf,2015,2548,"2CHIP, function: 2, on date: 2015-02-11",committed-3_3395_7205_All
6443,cs_resurf,2015,4264,"2CHIP, function: 2, on date: 2015-02-11",committed-3_3395_7450_All
6444,cs_resurf,2015,1976,"2CHIP, function: 2, on date: 2015-02-11",committed-3_3395_7860_All
6445,cs_resurf,2015,2080,"2CHIP, function: 2, on date: 2015-02-11",committed-3_3395_8050_All
6446,cs_resurf,2015,2080,"2CHIP, function: 2, on date: 2015-02-11",committed-3_3395_8250_All
6544,cs_rehab,2015,2000,"1CHIP, function: 1, on date: 2015-11-10",committed-4_695_1400_All
6546,cs_rehab,2015,2050,"1CHIP, function: 1, on date: 2015-02-20",committed-4_695_2130_All
6547,cs_rehab,2015,4025,"1CHIP, function: 1, on date: 2015-03-05",committed-4_695_2335_L1
6548,cs_rehab,2015,4025,"1CHIP, function: 1, on date: 2015-03-05",committed-4_695_2335_R1
6549,cs_rehab,2015,8700,"1CHIP, function: 1, on date: 2015-03-23",committed-4_695_3140_All
6559,cs_resurf,2015,13545,"RACK, function: 2, on date: 2015-02-26",committed-4_695_8490_All
